locus_tag,KG_FM,KG_FG,KG_PC,KG_PG,KG_PW
b4014,,,Metabolism,Carbohydrate metabolism,Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism
b4015,,,Metabolism,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism; Propanoate metabolism
b4018,Transcription factors,genetic information processing,,,
b4019,,,Metabolism; Organismal Systems,Amino acid metabolism; Metabolism of other amino acids; Metabolism of cofactors and vitamins; Digestive system,Cysteine and methionine metabolism; Selenocompound metabolism; One carbon pool by folate; Folate transport and metabolism; Cobalamin transport and metabolism
b4020,Transporters,signaling and cellular processes,,,
b4021,Peptidases and inhibitors,metabolism,,,
b4022,Ribosome biogenesis,genetic information processing,,,
b4024,,,Metabolism,Amino acid metabolism; Biosynthesis of other secondary metabolites,"Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Lysine biosynthesis; Monobactam biosynthesis"
b4025,Exosome,signaling and cellular processes,Metabolism,Carbohydrate metabolism; Glycan biosynthesis and metabolism,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism
b4031,Transporters,signaling and cellular processes,,,
b4032,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b4033,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b4034,Transporters,signaling and cellular processes,Environmental Information Processing; Cellular Processes,Membrane transport; Cell motility,ABC transporters; Bacterial chemotaxis
b4035,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b4036,Transporters,signaling and cellular processes,,,
b4039,,,Metabolism,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis
b4040,Prenyltransferases,metabolism,Metabolism,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis
b4041,Lipid biosynthesis proteins,metabolism,Metabolism,Lipid metabolism,Glycerolipid metabolism; Glycerophospholipid metabolism
b4042,,,Metabolism,Lipid metabolism,Glycerolipid metabolism; Glycerophospholipid metabolism
b4043,Peptidases and inhibitors; DNA repair and recombination proteins,metabolism; genetic information processing,,,
b4044,Transporters,signaling and cellular processes,,,
b4046,Transcription factors,genetic information processing,Cellular Processes,Cellular community - prokaryotes,Quorum sensing
b4049,Transfer RNA biogenesis,genetic information processing,,,
b4052,DNA replication proteins,genetic information processing,Genetic Information Processing,Replication and repair,DNA replication
b4053,Peptidoglycan biosynthesis and degradation proteins,metabolism,Metabolism; Human Diseases,Metabolism of other amino acids; Drug resistance: antimicrobial,D-Amino acid metabolism; Vancomycin resistance
b4054,Amino acid related enzymes,metabolism,Metabolism,Amino acid metabolism; Biosynthesis of other secondary metabolites,"Cysteine and methionine metabolism; Tyrosine metabolism; Phenylalanine metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis; Novobiocin biosynthesis"
b4055,,,Metabolism,Metabolism of cofactors and vitamins,Riboflavin metabolism
b4058,DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Replication and repair,Nucleotide excision repair
b4059,DNA replication proteins; DNA repair and recombination proteins; Mitochondrial biogenesis,genetic information processing,Genetic Information Processing,Replication and repair,DNA replication; Mismatch repair; Homologous recombination
b4062,Transcription factors,genetic information processing,,,
b4063,Transcription factors,genetic information processing,,,
b4064,Transporters,signaling and cellular processes,,,
b4065,Transporters,signaling and cellular processes,,,
b4067,Transporters,signaling and cellular processes,,,
b4069,Lipid biosynthesis proteins,metabolism,Metabolism,Carbohydrate metabolism; Energy metabolism,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Propanoate metabolism; Other carbon fixation pathways; Methane metabolism
b4070,,,Metabolism,Energy metabolism,Nitrogen metabolism
b4077,Transporters,signaling and cellular processes,,,
b4079,,,Metabolism,Energy metabolism,Other carbon fixation pathways; Methane metabolism
b4080,Transporters,signaling and cellular processes,,,
b4081,Transporters,signaling and cellular processes,,,
b4082,Transporters,signaling and cellular processes,,,
b4084,,,Metabolism,Carbohydrate metabolism,Fructose and mannose metabolism
b4085,,,Metabolism,Carbohydrate metabolism,Fructose and mannose metabolism
b4086,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b4087,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b4088,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b4089,Transcription factors,genetic information processing,,,
b4090,,,Metabolism,Carbohydrate metabolism; Energy metabolism,Pentose phosphate pathway; Fructose and mannose metabolism; Carbon fixation by Calvin cycle
b4092,,,Metabolism,Metabolism of other amino acids,Phosphonate and phosphinate metabolism
b4093,,,Metabolism,Metabolism of other amino acids,Phosphonate and phosphinate metabolism
b4094,,,Metabolism,Carbohydrate metabolism,Pentose phosphate pathway
b4095,,,Metabolism,Metabolism of other amino acids,Phosphonate and phosphinate metabolism
b4096,,,Metabolism,Metabolism of other amino acids,Phosphonate and phosphinate metabolism
b4098,,,Metabolism,Metabolism of other amino acids,Phosphonate and phosphinate metabolism
b4099,,,Metabolism,Metabolism of other amino acids,Phosphonate and phosphinate metabolism
