locus_tag,KG_FM,KG_FG,KG_PC,KG_PG,KG_PW
b0940,Transporters; Secretion system; Bacterial motility proteins,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b0942,Secretion system; Bacterial motility proteins,signaling and cellular processes,,,
b0945,,,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b0946,Chromosome and associated proteins,genetic information processing,,,
b0948,Ribosome biogenesis,genetic information processing,,,
b0949,Transporters,signaling and cellular processes,,,
b0950,Transporters,signaling and cellular processes,,,
b0951,Transporters,signaling and cellular processes,,,
b0952,Transporters,signaling and cellular processes,,,
b0953,Ribosome biogenesis,genetic information processing,,,
b0954,Lipid biosynthesis proteins,metabolism,Metabolism,Lipid metabolism,Fatty acid biosynthesis
b0955,Peptidases and inhibitors,metabolism,,,
b0957,Transporters,signaling and cellular processes,,,
b0958,Chromosome and associated proteins,genetic information processing,,,
b0962,DNA repair and recombination proteins,genetic information processing,,,
b0963,,,Metabolism,Carbohydrate metabolism,Propanoate metabolism
b0966,Chromosome and associated proteins,genetic information processing,,,
b0967,Ribosome biogenesis,genetic information processing,,,
b0968,,,Metabolism,Carbohydrate metabolism; Xenobiotics biodegradation and metabolism,Pyruvate metabolism; Aminobenzoate degradation
b0969,Transfer RNA biogenesis,genetic information processing,Genetic Information Processing,"Folding, sorting and degradation",Sulfur relay system
b0970,Transporters,signaling and cellular processes,,,
b0971,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b0972,,,Metabolism; Environmental Information Processing,Xenobiotics biodegradation and metabolism; Signal transduction,Nitrotoluene degradation; Two-component system
b0973,,,Metabolism; Environmental Information Processing,Xenobiotics biodegradation and metabolism; Signal transduction,Nitrotoluene degradation; Two-component system
b0974,,,Environmental Information Processing,Signal transduction,Two-component system
b0975,Peptidases and inhibitors,metabolism,,,
b0978,,,Metabolism; Environmental Information Processing,Energy metabolism; Signal transduction,Oxidative phosphorylation; Two-component system
b0979,,,Metabolism; Environmental Information Processing,Energy metabolism; Signal transduction,Oxidative phosphorylation; Two-component system
b0980,,,Metabolism,Carbohydrate metabolism; Metabolism of cofactors and vitamins,Inositol phosphate metabolism; Riboflavin metabolism
b0981,Protein kinases; Transporters,metabolism; signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b0982,,,Environmental Information Processing,Signal transduction,Two-component system
b0983,Transporters,signaling and cellular processes,Environmental Information Processing; Cellular Processes,Signal transduction; Cellular community - prokaryotes,Two-component system; Biofilm formation - Escherichia coli
b0993,Protein kinases; Two-component system,metabolism; signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b0995,Two-component system,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b0996,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing,Energy metabolism; Signal transduction,Methane metabolism; Two-component system
b0997,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing,Energy metabolism; Signal transduction,Methane metabolism; Two-component system
b0998,Chaperones and folding catalysts; Transporters,genetic information processing; signaling and cellular processes,Metabolism; Environmental Information Processing,Energy metabolism; Signal transduction,Methane metabolism; Two-component system
b0999,Chromosome and associated proteins,genetic information processing,,,
b1000,Chaperones and folding catalysts; Chromosome and associated proteins,genetic information processing,,,
b1002,,,Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
b1004,,,Metabolism,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis
b1006,Transporters,signaling and cellular processes,,,
b1007,,,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b1008,,,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b1009,,,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b1010,,,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b1011,,,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b1012,,,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b1013,Transcription factors,genetic information processing,,,
b1014,Transcription factors,genetic information processing,Metabolism,Amino acid metabolism,"Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism"
b1015,Transporters,signaling and cellular processes,,,
b1018,Transporters,signaling and cellular processes,,,
b1019,Transporters,signaling and cellular processes,,,
b1021,,,Metabolism; Cellular Processes,Glycan biosynthesis and metabolism; Cellular community - prokaryotes,Exopolysaccharide biosynthesis; Biofilm formation - Escherichia coli
b1022,Glycosyltransferases,metabolism,Metabolism; Cellular Processes,Glycan biosynthesis and metabolism; Cellular community - prokaryotes,Exopolysaccharide biosynthesis; Biofilm formation - Escherichia coli
b1023,,,Cellular Processes,Cellular community - prokaryotes,Biofilm formation - Escherichia coli
b1024,,,Cellular Processes,Cellular community - prokaryotes,Biofilm formation - Escherichia coli
b1032,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b1033,,,Metabolism,Carbohydrate metabolism; Amino acid metabolism,"Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Glycine, serine and threonine metabolism"
b1037,Secretion system,signaling and cellular processes,,,
b1038,Secretion system,signaling and cellular processes,,,
b1039,Secretion system,signaling and cellular processes,,,
b1040,Transcription factors,genetic information processing,Cellular Processes,Cellular community - prokaryotes,Biofilm formation - Escherichia coli
b1041,Secretion system,signaling and cellular processes,Cellular Processes,Cellular community - prokaryotes,Biofilm formation - Escherichia coli
b1042,Secretion system,signaling and cellular processes,Cellular Processes,Cellular community - prokaryotes,Biofilm formation - Escherichia coli
b1043,Secretion system,signaling and cellular processes,Cellular Processes,Cellular community - prokaryotes,Biofilm formation - Escherichia coli
b1046,,,Metabolism,Lipid metabolism,Glycerophospholipid metabolism
b1049,Glycosyltransferases,metabolism,,,
b1053,Transporters,signaling and cellular processes,,,
b1054,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
b1060,Prokaryotic defense system,signaling and cellular processes,,,
b1061,DNA repair and recombination proteins,genetic information processing,,,
b1062,,,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b1064,Chaperones and folding catalysts,genetic information processing,,,
b1065,Transporters,signaling and cellular processes,,,
b1066,Ribosome biogenesis,genetic information processing,,,
b1069,Peptidoglycan biosynthesis and degradation proteins; Transporters,metabolism; signaling and cellular processes,,,
b1070,Bacterial motility proteins,signaling and cellular processes,Cellular Processes,Cell motility,Flagellar assembly
b1071,Bacterial motility proteins,signaling and cellular processes,Environmental Information Processing; Cellular Processes,Signal transduction; Cellular community - prokaryotes; Cell motility,Two-component system; Biofilm formation - Escherichia coli; Flagellar assembly
b1072,Bacterial motility proteins,signaling and cellular processes,Cellular Processes,Cell motility,Flagellar assembly
b1073,Bacterial motility proteins,signaling and cellular processes,Cellular Processes,Cell motility,Flagellar assembly
b1074,Bacterial motility proteins,signaling and cellular processes,Cellular Processes,Cell motility,Flagellar assembly
b1075,Bacterial motility proteins,signaling and cellular processes,Cellular Processes,Cell motility,Flagellar assembly
b1076,Bacterial motility proteins,signaling and cellular processes,Cellular Processes,Cell motility,Flagellar assembly
b1077,Bacterial motility proteins,signaling and cellular processes,Cellular Processes,Cell motility,Flagellar assembly
b1078,Bacterial motility proteins,signaling and cellular processes,Cellular Processes,Cell motility,Flagellar assembly
b1079,Bacterial motility proteins,signaling and cellular processes,Cellular Processes,Cell motility,Flagellar assembly
b1080,Bacterial motility proteins,signaling and cellular processes,Cellular Processes,Cell motility,Flagellar assembly
b1081,Bacterial motility proteins,signaling and cellular processes,Cellular Processes,Cell motility,Flagellar assembly
b1082,Bacterial motility proteins,signaling and cellular processes,Cellular Processes,Cell motility,Flagellar assembly
b1083,Bacterial motility proteins,signaling and cellular processes,Cellular Processes,Cell motility,Flagellar assembly
b1084,Messenger RNA biogenesis; Ribosome biogenesis,genetic information processing,Genetic Information Processing,"Folding, sorting and degradation",RNA degradation
b1086,Ribosome biogenesis,genetic information processing,,,
b1088,Ribosome biogenesis,genetic information processing,,,
b1089,Ribosome,genetic information processing,Genetic Information Processing,Translation,Ribosome
b1090,Lipid biosynthesis proteins,metabolism,Metabolism,Lipid metabolism,Glycerolipid metabolism
b1091,Lipid biosynthesis proteins,metabolism,Metabolism,Lipid metabolism,Fatty acid biosynthesis
b1092,Lipid biosynthesis proteins,metabolism,Metabolism,Lipid metabolism; Biosynthesis of other secondary metabolites,Fatty acid biosynthesis; Mycolic acid biosynthesis; Prodigiosin biosynthesis
b1093,Lipid biosynthesis proteins,metabolism,Metabolism,Lipid metabolism; Metabolism of cofactors and vitamins; Biosynthesis of other secondary metabolites,Fatty acid biosynthesis; Biotin metabolism; Prodigiosin biosynthesis
b1094,,,Metabolism,Lipid metabolism; Biosynthesis of other secondary metabolites,Fatty acid biosynthesis; Mycolic acid biosynthesis; Biosynthesis of various antibiotics
b1095,Lipid biosynthesis proteins,metabolism,Metabolism,Lipid metabolism; Metabolism of cofactors and vitamins,Fatty acid biosynthesis; Biotin metabolism
b1096,,,Metabolism,Metabolism of cofactors and vitamins,Folate biosynthesis
b1097,Peptidoglycan biosynthesis and degradation proteins,metabolism,,,
b1098,,,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b1099,DNA replication proteins; DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Replication and repair,DNA replication; Mismatch repair; Homologous recombination
b1101,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing,Carbohydrate metabolism; Glycan biosynthesis and metabolism; Membrane transport,Glycolysis / Gluconeogenesis; Amino sugar and nucleotide sugar metabolism; Phosphotransferase system (PTS)
b1102,Transporters,signaling and cellular processes,,,
b1103,Transfer RNA biogenesis; Exosome,genetic information processing; signaling and cellular processes,,,
b1106,,,Metabolism,Metabolism of cofactors and vitamins,Thiamine metabolism
b1107,,,Metabolism; Human Diseases,Glycan biosynthesis and metabolism; Drug resistance: antimicrobial,Amino sugar and nucleotide sugar metabolism; beta-Lactam resistance
b1109,,,Metabolism,Energy metabolism,Oxidative phosphorylation
b1111,Transcription factors,genetic information processing,,,
b1112,Prokaryotic defense system,signaling and cellular processes,,,
b1113,Peptidases and inhibitors; Peptidoglycan biosynthesis and degradation proteins,metabolism,Human Diseases,Drug resistance: antimicrobial,Cationic antimicrobial peptide (CAMP) resistance
b1114,DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Replication and repair,Nucleotide excision repair
b1116,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b1117,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b1118,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b1119,,,Metabolism,Glycan biosynthesis and metabolism,Amino sugar and nucleotide sugar metabolism
b1120,,,Metabolism,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism
b1123,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b1124,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b1125,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b1126,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b1127,Peptidases and inhibitors,metabolism,,,
b1128,Ribosome biogenesis,genetic information processing,,,
b1129,Protein kinases; Two-component system; Antimicrobial resistance genes,metabolism; signaling and cellular processes,Environmental Information Processing; Human Diseases,Signal transduction; Drug resistance: antimicrobial,Two-component system; Cationic antimicrobial peptide (CAMP) resistance
b1130,Two-component system; Antimicrobial resistance genes,signaling and cellular processes,Environmental Information Processing; Human Diseases,Signal transduction; Drug resistance: antimicrobial,Two-component system; Cationic antimicrobial peptide (CAMP) resistance
b1131,,,Metabolism,Nucleotide metabolism; Amino acid metabolism,"Purine metabolism; Alanine, aspartate and glutamate metabolism"
b1133,Transfer RNA biogenesis,genetic information processing,Genetic Information Processing,"Folding, sorting and degradation",Sulfur relay system
b1134,,,Metabolism,Metabolism of cofactors and vitamins,Riboflavin metabolism
b1135,Ribosome biogenesis,genetic information processing,,,
b1136,,,Metabolism; Cellular Processes,Carbohydrate metabolism; Energy metabolism; Metabolism of other amino acids; Transport and catabolism,Citrate cycle (TCA cycle); Other carbon fixation pathways; Glutathione metabolism; Peroxisome
b1159,Prokaryotic defense system,signaling and cellular processes,,,
b1162,Transcription factors,genetic information processing,,,
b1174,Chromosome and associated proteins; Cytoskeleton proteins,genetic information processing; signaling and cellular processes,,,
b1175,Chromosome and associated proteins; Cytoskeleton proteins,genetic information processing; signaling and cellular processes,,,
b1176,Chromosome and associated proteins; Cytoskeleton proteins,genetic information processing; signaling and cellular processes,,,
b1182,Bacterial toxins,signaling and cellular processes,,,
b1183,Peptidases and inhibitors; DNA repair and recombination proteins,metabolism; genetic information processing,,,
b1184,DNA repair and recombination proteins,genetic information processing,,,
b1185,Chaperones and folding catalysts,genetic information processing,,,
b1186,Transporters,signaling and cellular processes,,,
b1187,Transcription factors,genetic information processing,,,
b1189,,,Metabolism,Amino acid metabolism; Metabolism of other amino acids,Phenylalanine metabolism; D-Amino acid metabolism
b1190,Peptidoglycan biosynthesis and degradation proteins,metabolism,Metabolism; Human Diseases,Metabolism of other amino acids; Drug resistance: antimicrobial,D-Amino acid metabolism; Vancomycin resistance
b1191,Transporters,signaling and cellular processes,,,
b1192,Peptidases and inhibitors; Peptidoglycan biosynthesis and degradation proteins,metabolism,,,
b1193,Peptidoglycan biosynthesis and degradation proteins,metabolism,,,
b1194,,,Cellular Processes,Cellular community - prokaryotes,Biofilm formation - Escherichia coli
b1197,Glycosylphosphatidylinositol (GPI)-anchored proteins,signaling and cellular processes,Metabolism,Carbohydrate metabolism,Starch and sucrose metabolism
b1198,Transporters,signaling and cellular processes,Metabolism,Lipid metabolism,Glycerolipid metabolism
b1199,,,Metabolism,Lipid metabolism,Glycerolipid metabolism
b1200,,,Metabolism,Lipid metabolism,Glycerolipid metabolism
b1201,Transcription factors,genetic information processing,,,
b1203,Ribosome biogenesis,genetic information processing,,,
b1204,Translation factors,genetic information processing,,,
b1206,Transporters,signaling and cellular processes,,,
b1207,,,Metabolism,Carbohydrate metabolism; Nucleotide metabolism,Pentose phosphate pathway; Purine metabolism
b1208,,,Metabolism,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis
b1210,,,Metabolism,Metabolism of cofactors and vitamins,Porphyrin metabolism
b1211,Translation factors,genetic information processing,,,
b1212,Translation factors,genetic information processing,,,
b1215,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Biosynthesis of various nucleotide sugars
b1216,Transporters,signaling and cellular processes,,,
b1218,,,Metabolism,Metabolism of other amino acids,Glutathione metabolism
b1221,Two-component system,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b1222,Protein kinases; Two-component system,metabolism; signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b1223,Transporters,signaling and cellular processes,Metabolism,Energy metabolism,Nitrogen metabolism
b1224,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing,Energy metabolism; Signal transduction,Nitrogen metabolism; Two-component system
b1225,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing,Energy metabolism; Signal transduction,Nitrogen metabolism; Two-component system
b1226,,,Environmental Information Processing,Signal transduction,Two-component system
b1227,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing,Energy metabolism; Signal transduction,Nitrogen metabolism; Two-component system
b1230,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b1231,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b1232,,,Metabolism,Carbohydrate metabolism; Metabolism of cofactors and vitamins,Glyoxylate and dicarboxylate metabolism; One carbon pool by folate
b1235,Two-component system,signaling and cellular processes,,,
b1236,,,Metabolism,Carbohydrate metabolism; Glycan biosynthesis and metabolism,Pentose and glucuronate interconversions; Galactose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism; Biosynthesis of various nucleotide sugars
b1237,Chromosome and associated proteins; DNA repair and recombination proteins,genetic information processing,,,
b1238,,,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b1241,,,Metabolism,Carbohydrate metabolism; Lipid metabolism; Amino acid metabolism; Xenobiotics biodegradation and metabolism,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Butanoate metabolism; Fatty acid degradation; Tyrosine metabolism; Chloroalkane and chloroalkene degradation; Naphthalene degradation
b1243,Transporters,signaling and cellular processes,Environmental Information Processing; Cellular Processes; Human Diseases,Membrane transport; Cellular community - prokaryotes; Drug resistance: antimicrobial,ABC transporters; Quorum sensing; beta-Lactam resistance
b1244,Transporters,signaling and cellular processes,Environmental Information Processing; Cellular Processes; Human Diseases,Membrane transport; Cellular community - prokaryotes; Drug resistance: antimicrobial,ABC transporters; Quorum sensing; beta-Lactam resistance
b1245,Transporters,signaling and cellular processes,Environmental Information Processing; Cellular Processes; Human Diseases,Membrane transport; Cellular community - prokaryotes; Drug resistance: antimicrobial,ABC transporters; Quorum sensing; beta-Lactam resistance
b1246,Transporters,signaling and cellular processes,Environmental Information Processing; Cellular Processes; Human Diseases,Membrane transport; Cellular community - prokaryotes; Drug resistance: antimicrobial,ABC transporters; Quorum sensing; beta-Lactam resistance
b1247,Transporters,signaling and cellular processes,Environmental Information Processing; Cellular Processes; Human Diseases,Membrane transport; Cellular community - prokaryotes; Drug resistance: antimicrobial,ABC transporters; Quorum sensing; beta-Lactam resistance
b1249,,,Metabolism,Lipid metabolism,Glycerophospholipid metabolism
b1250,Transporters,signaling and cellular processes,,,
b1252,Transporters,signaling and cellular processes,,,
b1253,Lipid biosynthesis proteins,metabolism,Metabolism,Lipid metabolism,Biosynthesis of unsaturated fatty acids
b1260,,,Metabolism,Amino acid metabolism,"Glycine, serine and threonine metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis"
b1261,,,Metabolism,Amino acid metabolism,"Glycine, serine and threonine metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis"
b1262,,,Metabolism,Amino acid metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis"
b1263,,,Metabolism,Amino acid metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis"
b1264,,,Metabolism; Cellular Processes,Amino acid metabolism; Biosynthesis of other secondary metabolites; Cellular community - prokaryotes,"Phenylalanine, tyrosine and tryptophan biosynthesis; Phenazine biosynthesis; Quorum sensing"
b1269,Ribosome biogenesis,genetic information processing,,,
b1270,,,Metabolism,Metabolism of cofactors and vitamins,Porphyrin metabolism
b1272,Peptidases and inhibitors,metabolism,,,
b1274,DNA replication proteins; DNA repair and recombination proteins,genetic information processing,,,
b1275,Transcription factors,genetic information processing,,,
b1276,,,Metabolism,Carbohydrate metabolism; Energy metabolism,Citrate cycle (TCA cycle); Glyoxylate and dicarboxylate metabolism; Propanoate metabolism; Other carbon fixation pathways
b1277,,,Metabolism; Cellular Processes,Metabolism of cofactors and vitamins; Cellular community - prokaryotes,Riboflavin metabolism; Folate biosynthesis; Quorum sensing
b1278,,,Metabolism,Lipid metabolism,Glycerophospholipid metabolism
b1281,,,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b1282,Translation factors,genetic information processing,,,
b1285,,,Cellular Processes,Cellular community - prokaryotes,Quorum sensing; Biofilm formation - Escherichia coli
b1286,Transfer RNA biogenesis,genetic information processing,,,
b1288,Lipid biosynthesis proteins,metabolism,Metabolism,Lipid metabolism; Metabolism of cofactors and vitamins; Biosynthesis of other secondary metabolites,Fatty acid biosynthesis; Biotin metabolism; Prodigiosin biosynthesis
b1290,Transporters,signaling and cellular processes,Environmental Information Processing; Human Diseases,Membrane transport; Drug resistance: antimicrobial,ABC transporters; Cationic antimicrobial peptide (CAMP) resistance
b1291,Transporters,signaling and cellular processes,Environmental Information Processing; Human Diseases,Membrane transport; Drug resistance: antimicrobial,ABC transporters; Cationic antimicrobial peptide (CAMP) resistance
b1292,Transporters,signaling and cellular processes,Environmental Information Processing; Human Diseases,Membrane transport; Drug resistance: antimicrobial,ABC transporters; Cationic antimicrobial peptide (CAMP) resistance
b1293,Transporters,signaling and cellular processes,Environmental Information Processing; Human Diseases,Membrane transport; Drug resistance: antimicrobial,ABC transporters; Cationic antimicrobial peptide (CAMP) resistance
b1294,Transporters,signaling and cellular processes,Environmental Information Processing; Human Diseases,Membrane transport; Drug resistance: antimicrobial,ABC transporters; Cationic antimicrobial peptide (CAMP) resistance
b1296,Transporters,signaling and cellular processes,,,
b1297,,,Metabolism,Amino acid metabolism,Arginine and proline metabolism
b1298,Peptidases and inhibitors,metabolism,Metabolism,Amino acid metabolism,Arginine and proline metabolism
b1299,Transcription factors,genetic information processing,,,
b1300,,,Metabolism,Amino acid metabolism,Arginine and proline metabolism
b1301,,,Metabolism,Amino acid metabolism,Arginine and proline metabolism
b1302,Amino acid related enzymes,metabolism,Metabolism,Carbohydrate metabolism; Amino acid metabolism; Metabolism of other amino acids,"Propanoate metabolism; Butanoate metabolism; Alanine, aspartate and glutamate metabolism; beta-Alanine metabolism"
b1303,Transcription factors,genetic information processing,,,
b1305,Prokaryotic defense system,signaling and cellular processes,,,
b1306,Transcription factors; Prokaryotic defense system,genetic information processing; signaling and cellular processes,,,
b1308,,,Metabolism,Energy metabolism,Sulfur metabolism
b1310,Transporters,signaling and cellular processes,,,
b1311,Transporters,signaling and cellular processes,,,
b1312,Transporters,signaling and cellular processes,,,
b1317,,,Metabolism,Carbohydrate metabolism,Starch and sucrose metabolism
b1319,Transporters,signaling and cellular processes,,,
b1323,Transcription factors,genetic information processing,,,
b1325,,,Metabolism,Metabolism of other amino acids,D-Amino acid metabolism
b1328,Transcription factors,genetic information processing,,,
b1329,Transporters,signaling and cellular processes,Environmental Information Processing; Cellular Processes; Human Diseases,Membrane transport; Cellular community - prokaryotes; Drug resistance: antimicrobial,ABC transporters; Quorum sensing; beta-Lactam resistance
b1330,Transporters,signaling and cellular processes,,,
b1334,Transcription factors,genetic information processing,,,
b1335,DNA repair and recombination proteins,genetic information processing,,,
b1337,Peptidases and inhibitors,metabolism,,,
b1338,Peptidases and inhibitors,metabolism,,,
b1339,Transcription factors,genetic information processing,,,
b1341,,,Cellular Processes,Cellular community - prokaryotes,Biofilm formation - Escherichia coli
b1342,Transporters,signaling and cellular processes,,,
b1343,Ribosome biogenesis,genetic information processing,,,
b1344,Transfer RNA biogenesis,genetic information processing,,,
b1347,Prokaryotic defense system,signaling and cellular processes,,,
b1348,Prokaryotic defense system,signaling and cellular processes,,,
b1349,DNA repair and recombination proteins,genetic information processing,,,
b1350,DNA repair and recombination proteins,genetic information processing,,,
b1363,Transporters,signaling and cellular processes,,,
b1377,Transporters,signaling and cellular processes,,,
b1378,,,Metabolism,Carbohydrate metabolism; Energy metabolism,Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pyruvate metabolism; Butanoate metabolism; Other carbon fixation pathways
b1380,,,Metabolism,Carbohydrate metabolism,Pyruvate metabolism
b1384,Transcription factors,genetic information processing,,,
b1385,,,Metabolism,Amino acid metabolism; Xenobiotics biodegradation and metabolism,Tyrosine metabolism; Phenylalanine metabolism; Styrene degradation
b1386,,,Metabolism,Amino acid metabolism; Metabolism of other amino acids,"Glycine, serine and threonine metabolism; Tyrosine metabolism; Phenylalanine metabolism; beta-Alanine metabolism"
b1387,,,Metabolism,Amino acid metabolism,Phenylalanine metabolism
b1388,,,Metabolism,Amino acid metabolism,Phenylalanine metabolism
b1389,,,Metabolism,Amino acid metabolism,Phenylalanine metabolism
b1390,,,Metabolism,Amino acid metabolism,Phenylalanine metabolism
b1391,,,Metabolism,Amino acid metabolism,Phenylalanine metabolism
b1392,,,Metabolism,Amino acid metabolism,Phenylalanine metabolism
b1393,,,Metabolism,Carbohydrate metabolism; Lipid metabolism; Amino acid metabolism; Metabolism of other amino acids; Metabolism of terpenoids and polyketides; Xenobiotics biodegradation and metabolism,"Propanoate metabolism; Butanoate metabolism; Fatty acid degradation; Valine, leucine and isoleucine degradation; Lysine degradation; Phenylalanine metabolism; Tryptophan metabolism; beta-Alanine metabolism; Pinene, camphor and geraniol degradation; Benzoate degradation; Aminobenzoate degradation; Caprolactam degradation"
b1394,,,Metabolism,Amino acid metabolism,Phenylalanine metabolism
b1395,,,Metabolism,Carbohydrate metabolism; Amino acid metabolism; Xenobiotics biodegradation and metabolism,Butanoate metabolism; Phenylalanine metabolism; Benzoate degradation
b1396,,,Metabolism,Amino acid metabolism,Phenylalanine metabolism
b1397,,,Metabolism,Amino acid metabolism,Phenylalanine metabolism
b1398,,,Metabolism,Amino acid metabolism,Phenylalanine metabolism
b1399,Transcription factors,genetic information processing,,,
b1406,,,Metabolism,Metabolism of cofactors and vitamins,Vitamin B6 metabolism
b1409,,,Metabolism,Lipid metabolism,Glycerophospholipid metabolism
b1413,Messenger RNA biogenesis,genetic information processing,,,
b1415,,,Metabolism,Carbohydrate metabolism,Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism
b1421,Bacterial motility proteins,signaling and cellular processes,Environmental Information Processing; Cellular Processes,Signal transduction; Cell motility,Two-component system; Bacterial chemotaxis
b1423,,,Metabolism,Amino acid metabolism,Lysine degradation
b1427,Ribosome biogenesis,genetic information processing,,,
b1429,Transporters,signaling and cellular processes,,,
b1433,Transporters,signaling and cellular processes,,,
b1434,Transcription factors,genetic information processing,,,
b1435,Peptidases and inhibitors,metabolism,,,
b1438,Prokaryotic defense system,signaling and cellular processes,,,
b1440,Transporters,signaling and cellular processes,Cellular Processes,Cellular community - prokaryotes,Quorum sensing
b1441,Transporters,signaling and cellular processes,Cellular Processes,Cellular community - prokaryotes,Quorum sensing
b1442,Transporters,signaling and cellular processes,Cellular Processes,Cellular community - prokaryotes,Quorum sensing
b1443,Transporters,signaling and cellular processes,Cellular Processes,Cellular community - prokaryotes,Quorum sensing
b1444,,,Metabolism,Amino acid metabolism; Metabolism of other amino acids,Lysine degradation; Arginine and proline metabolism; beta-Alanine metabolism
b1445,Prokaryotic defense system,signaling and cellular processes,,,
b1447,Transporters,signaling and cellular processes,Cellular Processes,Cellular community - prokaryotes,Quorum sensing
b1450,Transcription factors,genetic information processing,,,
b1451,Transporters,signaling and cellular processes,,,
b1453,Transporters,signaling and cellular processes,,,
b1461,,,Metabolism,Xenobiotics biodegradation and metabolism,Benzoate degradation; Xylene degradation; Dioxin degradation
b1465,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing,Energy metabolism; Signal transduction,Nitrogen metabolism; Two-component system
b1466,,,Environmental Information Processing,Signal transduction,Two-component system
b1467,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing,Energy metabolism; Signal transduction,Nitrogen metabolism; Two-component system
b1468,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing,Energy metabolism; Signal transduction,Nitrogen metabolism; Two-component system
b1469,Transporters,signaling and cellular processes,Metabolism,Energy metabolism,Nitrogen metabolism
b1474,Transporters,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b1475,Transporters,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b1476,Transporters,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b1477,Prokaryotic defense system,signaling and cellular processes,,,
b1478,,,Metabolism,Carbohydrate metabolism; Lipid metabolism; Amino acid metabolism; Xenobiotics biodegradation and metabolism,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Fatty acid degradation; Tyrosine metabolism; Chloroalkane and chloroalkene degradation; Naphthalene degradation
b1479,,,Metabolism; Environmental Information Processing,Carbohydrate metabolism; Signal transduction,Pyruvate metabolism; Two-component system
b1480,Ribosome biogenesis,genetic information processing,,,
